"","location","score","total"
"1",1,0,190
"2",1,1,387
"3",1,2,174
"4",1,3,37
"5",1,4,38
"6",1,5,37
"7",1,6,146
"8",1,7,313
"9",1,8,180
"10",1,9,96
"11",1,10,1113
"12",2,0,2346
"13",2,1,1014
"14",2,2,137
"15",2,3,96
"16",2,4,101
"17",2,5,84
"18",2,6,90
"19",2,7,112
"20",2,8,109
"21",2,9,188
"22",2,10,73
"23",3,0,84
"24",3,1,163
"25",3,2,365
"26",3,3,1588
"27",3,4,3477
"28",3,5,2852
"29",3,6,3296
"30",3,7,1359
"31",3,8,142
"32",3,9,136
"33",3,10,29
"34",4,0,243
"35",4,1,611
"36",4,2,414
"37",4,3,630
"38",4,4,671
"39",4,5,216
"40",4,6,36
"41",4,7,12
"42",4,8,19
"43",4,9,38
"44",4,10,66
"45",5,0,129
"46",5,1,300
"47",5,2,627
"48",5,3,306
"49",5,4,65
"50",5,5,36
"51",5,6,34
"52",5,7,33
"53",5,8,41
"54",5,9,73
"55",5,10,176
"56",6,0,455
"57",6,1,830
"58",6,2,695
"59",6,3,266
"60",6,4,102
"61",6,5,103
"62",6,6,103
"63",6,7,104
"64",6,8,94
"65",6,9,232
"66",6,10,0
"67",7,0,0
"68",7,1,1
"69",7,2,0
"70",7,3,0
"71",7,4,0
"72",7,5,0
"73",7,6,1
"74",7,7,1
"75",7,8,0
"76",7,9,0
"77",7,10,85
"78",8,0,98
"79",8,1,187
"80",8,2,388
"81",8,3,1510
"82",8,4,3582
"83",8,5,3506
"84",8,6,3064
"85",8,7,1145
"86",8,8,164
"87",8,9,160
"88",8,10,88
"89",9,0,95
"90",9,1,143
"91",9,2,273
"92",9,3,246
"93",9,4,1420
"94",9,5,3142
"95",9,6,1773
"96",9,7,1014
"97",9,8,421
"98",9,9,181
"99",9,10,29
"100",10,0,31
"101",10,1,31
"102",10,2,57
"103",10,3,106
"104",10,4,179
"105",10,5,543
"106",10,6,830
"107",10,7,315
"108",10,8,35
"109",10,9,57
"110",10,10,32
"111",11,0,44
"112",11,1,36
"113",11,2,64
"114",11,3,571
"115",11,4,1386
"116",11,5,577
"117",11,6,51
"118",11,7,19
"119",11,8,16
"120",11,9,48
"121",11,10,43
"122",12,0,104
"123",12,1,777
"124",12,2,1639
"125",12,3,689
"126",12,4,60
"127",12,5,21
"128",12,6,33
"129",12,7,26
"130",12,8,31
"131",12,9,40
"132",12,10,33
"133",13,0,103
"134",13,1,247
"135",13,2,124
"136",13,3,143
"137",13,4,328
"138",13,5,143
"139",13,6,29
"140",13,7,16
"141",13,8,15
"142",13,9,45
"143",13,10,49
"144",14,0,68
"145",14,1,150
"146",14,2,476
"147",14,3,1778
"148",14,4,2637
"149",14,5,1007
"150",14,6,96
"151",14,7,38
"152",14,8,40
"153",14,9,90
"154",14,10,179
"155",15,0,736
"156",15,1,1572
"157",15,2,1120
"158",15,3,375
"159",15,4,112
"160",15,5,114
"161",15,6,105
"162",15,7,102
"163",15,8,108
"164",15,9,206
"165",15,10,283
"166",16,0,511
"167",16,1,256
"168",16,2,449
"169",16,3,955
"170",16,4,412
"171",16,5,64
"172",16,6,38
"173",16,7,43
"174",16,8,50
"175",16,9,84
"176",16,10,35
"177",17,0,46
"178",17,1,346
"179",17,2,787
"180",17,3,359
"181",17,4,46
"182",17,5,18
"183",17,6,15
"184",17,7,10
"185",17,8,19
"186",17,9,46
"187",17,10,36
"188",18,0,56
"189",18,1,85
"190",18,2,129
"191",18,3,947
"192",18,4,2105
"193",18,5,937
"194",18,6,101
"195",18,7,39
"196",18,8,29
"197",18,9,81
"198",18,10,40
"199",19,0,116
"200",19,1,328
"201",19,2,518
"202",19,3,230
"203",19,4,57
"204",19,5,50
"205",19,6,35
"206",19,7,39
"207",19,8,30
"208",19,9,72
"209",19,10,0
