"","location","score","total"
"1",1,0,27
"2",1,1,31
"3",1,2,143
"4",1,3,325
"5",1,4,256
"6",1,5,325
"7",1,6,157
"8",1,7,32
"9",1,8,19
"10",1,9,33
"11",1,10,176
"12",2,0,120
"13",2,1,49
"14",2,2,108
"15",2,3,745
"16",2,4,1750
"17",2,5,823
"18",2,6,109
"19",2,7,60
"20",2,8,54
"21",2,9,112
"22",2,10,55
"23",3,0,43
"24",3,1,116
"25",3,2,227
"26",3,3,188
"27",3,4,877
"28",3,5,2061
"29",3,6,892
"30",3,7,129
"31",3,8,65
"32",3,9,95
"33",3,10,76
"34",4,0,49
"35",4,1,244
"36",4,2,530
"37",4,3,376
"38",4,4,405
"39",4,5,185
"40",4,6,21
"41",4,7,9
"42",4,8,15
"43",4,9,26
"44",4,10,107
"45",5,0,39
"46",5,1,45
"47",5,2,227
"48",5,3,498
"49",5,4,228
"50",5,5,34
"51",5,6,17
"52",5,7,22
"53",5,8,22
"54",5,9,47
"55",5,10,228
"56",6,0,343
"57",6,1,574
"58",6,2,304
"59",6,3,94
"60",6,4,57
"61",6,5,75
"62",6,6,71
"63",6,7,66
"64",6,8,70
"65",6,9,134
"66",6,10,0
"67",7,0,1
"68",7,1,0
"69",7,2,2
"70",7,3,2
"71",7,4,31
"72",7,5,83
"73",7,6,28
"74",7,7,4
"75",7,8,1
"76",7,9,1
"77",7,10,42
"78",8,0,135
"79",8,1,276
"80",8,2,123
"81",8,3,64
"82",8,4,143
"83",8,5,1278
"84",8,6,3184
"85",8,7,2168
"86",8,8,674
"87",8,9,215
"88",8,10,124
"89",9,0,249
"90",9,1,118
"91",9,2,59
"92",9,3,55
"93",9,4,120
"94",9,5,813
"95",9,6,1860
"96",9,7,1152
"97",9,8,910
"98",9,9,461
"99",9,10,14
"100",10,0,18
"101",10,1,34
"102",10,2,89
"103",10,3,46
"104",10,4,21
"105",10,5,40
"106",10,6,30
"107",10,7,14
"108",10,8,10
"109",10,9,36
"110",10,10,55
"111",11,0,27
"112",11,1,7
"113",11,2,39
"114",11,3,419
"115",11,4,1052
"116",11,5,434
"117",11,6,43
"118",11,7,12
"119",11,8,13
"120",11,9,27
"121",11,10,66
"122",12,0,26
"123",12,1,50
"124",12,2,508
"125",12,3,1221
"126",12,4,491
"127",12,5,54
"128",12,6,16
"129",12,7,5
"130",12,8,11
"131",12,9,36
"132",12,10,19
"133",13,0,79
"134",13,1,152
"135",13,2,78
"136",13,3,102
"137",13,4,163
"138",13,5,70
"139",13,6,13
"140",13,7,8
"141",13,8,16
"142",13,9,27
"143",13,10,121
"144",14,0,61
"145",14,1,29
"146",14,2,18
"147",14,3,27
"148",14,4,94
"149",14,5,907
"150",14,6,2314
"151",14,7,926
"152",14,8,102
"153",14,9,53
"154",14,10,202
"155",15,0,155
"156",15,1,549
"157",15,2,1287
"158",15,3,548
"159",15,4,94
"160",15,5,76
"161",15,6,59
"162",15,7,75
"163",15,8,65
"164",15,9,134
"165",15,10,45
"166",16,0,156
"167",16,1,254
"168",16,2,111
"169",16,3,156
"170",16,4,306
"171",16,5,135
"172",16,6,34
"173",16,7,31
"174",16,8,21
"175",16,9,50
"176",16,10,27
"177",17,0,16
"178",17,1,10
"179",17,2,7
"180",17,3,26
"181",17,4,284
"182",17,5,620
"183",17,6,271
"184",17,7,21
"185",17,8,13
"186",17,9,31
"187",17,10,94
"188",18,0,39
"189",18,1,66
"190",18,2,806
"191",18,3,1773
"192",18,4,770
"193",18,5,79
"194",18,6,18
"195",18,7,17
"196",18,8,24
"197",18,9,41
"198",18,10,142
"199",19,0,193
"200",19,1,378
"201",19,2,168
"202",19,3,28
"203",19,4,21
"204",19,5,25
"205",19,6,28
"206",19,7,26
"207",19,8,30
"208",19,9,47
"209",19,10,0
