"","location","score","total"
"1",1,0,162
"2",1,1,314
"3",1,2,139
"4",1,3,28
"5",1,4,31
"6",1,5,31
"7",1,6,150
"8",1,7,304
"9",1,8,140
"10",1,9,49
"11",1,10,193
"12",2,0,137
"13",2,1,793
"14",2,2,1756
"15",2,3,778
"16",2,4,104
"17",2,5,66
"18",2,6,41
"19",2,7,64
"20",2,8,51
"21",2,9,123
"22",2,10,48
"23",3,0,38
"24",3,1,106
"25",3,2,244
"26",3,3,203
"27",3,4,882
"28",3,5,1987
"29",3,6,963
"30",3,7,142
"31",3,8,48
"32",3,9,87
"33",3,10,77
"34",4,0,17
"35",4,1,22
"36",4,2,228
"37",4,3,556
"38",4,4,391
"39",4,5,398
"40",4,6,183
"41",4,7,22
"42",4,8,16
"43",4,9,26
"44",4,10,100
"45",5,0,49
"46",5,1,42
"47",5,2,248
"48",5,3,512
"49",5,4,198
"50",5,5,44
"51",5,6,22
"52",5,7,22
"53",5,8,21
"54",5,9,28
"55",5,10,233
"56",6,0,324
"57",6,1,619
"58",6,2,293
"59",6,3,97
"60",6,4,71
"61",6,5,71
"62",6,6,54
"63",6,7,58
"64",6,8,69
"65",6,9,127
"66",6,10,0
"67",7,0,0
"68",7,1,0
"69",7,2,0
"70",7,3,0
"71",7,4,0
"72",7,5,0
"73",7,6,1
"74",7,7,0
"75",7,8,0
"76",7,9,1
"77",7,10,342
"78",8,0,144
"79",8,1,64
"80",8,2,50
"81",8,3,60
"82",8,4,119
"83",8,5,1278
"84",8,6,3151
"85",8,7,2206
"86",8,8,657
"87",8,9,231
"88",8,10,327
"89",9,0,102
"90",9,1,71
"91",9,2,49
"92",9,3,47
"93",9,4,92
"94",9,5,796
"95",9,6,1933
"96",9,7,1092
"97",9,8,954
"98",9,9,458
"99",9,10,129
"100",10,0,47
"101",10,1,16
"102",10,2,17
"103",10,3,15
"104",10,4,24
"105",10,5,34
"106",10,6,25
"107",10,7,9
"108",10,8,10
"109",10,9,26
"110",10,10,47
"111",11,0,28
"112",11,1,13
"113",11,2,12
"114",11,3,29
"115",11,4,421
"116",11,5,1061
"117",11,6,428
"118",11,7,41
"119",11,8,16
"120",11,9,32
"121",11,10,53
"122",12,0,56
"123",12,1,480
"124",12,2,1227
"125",12,3,539
"126",12,4,52
"127",12,5,10
"128",12,6,15
"129",12,7,10
"130",12,8,13
"131",12,9,29
"132",12,10,74
"133",13,0,84
"134",13,1,162
"135",13,2,81
"136",13,3,74
"137",13,4,127
"138",13,5,71
"139",13,6,13
"140",13,7,11
"141",13,8,9
"142",13,9,21
"143",13,10,109
"144",14,0,58
"145",14,1,27
"146",14,2,28
"147",14,3,93
"148",14,4,951
"149",14,5,2193
"150",14,6,982
"151",14,7,128
"152",14,8,34
"153",14,9,49
"154",14,10,217
"155",15,0,154
"156",15,1,539
"157",15,2,1301
"158",15,3,551
"159",15,4,98
"160",15,5,64
"161",15,6,60
"162",15,7,62
"163",15,8,65
"164",15,9,133
"165",15,10,105
"166",16,0,115
"167",16,1,235
"168",16,2,113
"169",16,3,167
"170",16,4,302
"171",16,5,136
"172",16,6,29
"173",16,7,29
"174",16,8,23
"175",16,9,45
"176",16,10,314
"177",17,0,610
"178",17,1,287
"179",17,2,27
"180",17,3,14
"181",17,4,10
"182",17,5,9
"183",17,6,9
"184",17,7,15
"185",17,8,13
"186",17,9,18
"187",17,10,17
"188",18,0,92
"189",18,1,792
"190",18,2,1867
"191",18,3,771
"192",18,4,69
"193",18,5,21
"194",18,6,15
"195",18,7,19
"196",18,8,23
"197",18,9,41
"198",18,10,169
"199",19,0,357
"200",19,1,203
"201",19,2,124
"202",19,3,56
"203",19,4,19
"204",19,5,31
"205",19,6,23
"206",19,7,23
"207",19,8,33
"208",19,9,48
"209",19,10,0
