"","location","score","total"
"1",1,0,54
"2",1,1,162
"3",1,2,407
"4",1,3,179
"5",1,4,53
"6",1,5,183
"7",1,6,308
"8",1,7,158
"9",1,8,40
"10",1,9,81
"11",1,10,9
"12",2,0,6
"13",2,1,9
"14",2,2,14
"15",2,3,11
"16",2,4,5
"17",2,5,8
"18",2,6,7
"19",2,7,6
"20",2,8,10
"21",2,9,11
"22",2,10,77
"23",3,0,134
"24",3,1,263
"25",3,2,161
"26",3,3,88
"27",3,4,228
"28",3,5,2330
"29",3,6,5658
"30",3,7,2744
"31",3,8,1200
"32",3,9,652
"33",3,10,3
"34",4,0,6
"35",4,1,3
"36",4,2,6
"37",4,3,1
"38",4,4,2
"39",4,5,6
"40",4,6,10
"41",4,7,6
"42",4,8,6
"43",4,9,3
"44",4,10,392
"45",5,0,665
"46",5,1,296
"47",5,2,58
"48",5,3,37
"49",5,4,40
"50",5,5,41
"51",5,6,39
"52",5,7,35
"53",5,8,39
"54",5,9,68
"55",5,10,294
"56",6,0,502
"57",6,1,964
"58",6,2,499
"59",6,3,140
"60",6,4,106
"61",6,5,107
"62",6,6,119
"63",6,7,116
"64",6,8,103
"65",6,9,210
"66",6,10,0
"67",7,0,0
"68",7,1,0
"69",7,2,0
"70",7,3,0
"71",7,4,0
"72",7,5,1
"73",7,6,0
"74",7,7,0
"75",7,8,0
"76",7,9,0
"77",7,10,20
"78",8,0,16
"79",8,1,19
"80",8,2,17
"81",8,3,24
"82",8,4,26
"83",8,5,29
"84",8,6,21
"85",8,7,24
"86",8,8,18
"87",8,9,21
"88",8,10,354
"89",9,0,144
"90",9,1,104
"91",9,2,251
"92",9,3,1471
"93",9,4,3101
"94",9,5,1651
"95",9,6,1000
"96",9,7,445
"97",9,8,103
"98",9,9,172
"99",9,10,5
"100",10,0,2
"101",10,1,3
"102",10,2,1
"103",10,3,6
"104",10,4,3
"105",10,5,6
"106",10,6,0
"107",10,7,3
"108",10,8,2
"109",10,9,4
"110",10,10,21
"111",11,0,42
"112",11,1,218
"113",11,2,798
"114",11,3,1153
"115",11,4,466
"116",11,5,54
"117",11,6,24
"118",11,7,19
"119",11,8,15
"120",11,9,34
"121",11,10,5
"122",12,0,4
"123",12,1,3
"124",12,2,4
"125",12,3,5
"126",12,4,6
"127",12,5,5
"128",12,6,3
"129",12,7,4
"130",12,8,8
"131",12,9,5
"132",12,10,2
"133",13,0,2
"134",13,1,4
"135",13,2,0
"136",13,3,5
"137",13,4,2
"138",13,5,2
"139",13,6,2
"140",13,7,0
"141",13,8,2
"142",13,9,0
"143",13,10,8
"144",14,0,10
"145",14,1,6
"146",14,2,10
"147",14,3,10
"148",14,4,5
"149",14,5,4
"150",14,6,13
"151",14,7,8
"152",14,8,3
"153",14,9,8
"154",14,10,8
"155",15,0,3
"156",15,1,4
"157",15,2,7
"158",15,3,7
"159",15,4,7
"160",15,5,5
"161",15,6,11
"162",15,7,4
"163",15,8,9
"164",15,9,10
"165",15,10,218
"166",16,0,379
"167",16,1,368
"168",16,2,394
"169",16,3,825
"170",16,4,589
"171",16,5,162
"172",16,6,44
"173",16,7,31
"174",16,8,51
"175",16,9,84
"176",16,10,4
"177",17,0,5
"178",17,1,4
"179",17,2,2
"180",17,3,3
"181",17,4,2
"182",17,5,0
"183",17,6,5
"184",17,7,4
"185",17,8,2
"186",17,9,3
"187",17,10,7
"188",18,0,11
"189",18,1,5
"190",18,2,4
"191",18,3,9
"192",18,4,4
"193",18,5,6
"194",18,6,6
"195",18,7,11
"196",18,8,1
"197",18,9,5
"198",18,10,3
"199",19,0,2
"200",19,1,1
"201",19,2,1
"202",19,3,2
"203",19,4,2
"204",19,5,2
"205",19,6,1
"206",19,7,3
"207",19,8,3
"208",19,9,2
"209",19,10,0
