location,score,total
1,0,382
1,1,218
1,2,74
1,3,35
1,4,32
1,5,29
1,6,42
1,7,151
1,8,326
1,9,196
1,10,231
2,0,151
2,1,135
2,2,836
2,3,1974
2,4,1255
2,5,328
2,6,107
2,7,94
2,8,109
2,9,170
2,10,80
3,0,62
3,1,171
3,2,270
3,3,134
3,4,72
3,5,192
3,6,1489
3,7,3511
3,8,2788
3,9,4766
3,10,83
4,0,53
4,1,244
4,2,547
4,3,588
4,4,907
4,5,378
4,6,43
4,7,23
4,8,22
4,9,31
4,10,44
5,0,122
5,1,222
5,2,112
5,3,42
5,4,233
5,5,500
5,6,263
5,7,45
5,8,44
5,9,83
5,10,419
6,0,739
6,1,798
6,2,343
6,3,116
6,4,110
6,5,108
6,6,95
6,7,112
6,8,108
6,9,212
6,10,1
7,0,1
7,1,0
7,2,2
7,3,2
7,4,1
7,5,0
7,6,36
7,7,93
7,8,30
7,9,7
7,10,386
8,0,169
8,1,85
8,2,113
8,3,99
8,4,188
8,5,1457
8,6,3711
8,7,3501
8,8,2960
8,9,1220
8,10,375
9,0,281
9,1,752
9,2,1237
9,3,532
9,4,183
9,5,866
9,6,1917
9,7,1189
9,8,937
9,9,527
9,10,129
10,0,58
10,1,21
10,2,26
10,3,28
10,4,37
10,5,96
10,6,233
10,7,450
10,8,773
10,9,362
10,10,57
11,0,35
11,1,19
11,2,25
11,3,149
11,4,328
11,5,176
11,6,60
11,7,451
11,8,1023
11,9,521
11,10,70
12,0,31
12,1,30
12,2,29
12,3,266
12,4,1003
12,5,1404
12,6,501
12,7,57
12,8,19
12,9,53
12,10,139
13,0,151
13,1,216
13,2,234
13,3,172
13,4,144
13,5,78
13,6,22
13,7,7
13,8,24
13,9,39
13,10,126
14,0,77
14,1,46
14,2,76
14,3,379
14,4,945
14,5,1349
14,6,2229
14,7,1007
14,8,118
14,9,77
14,10,477
15,0,712
15,1,813
15,2,1338
15,3,601
15,4,133
15,5,116
15,6,114
15,7,102
15,8,106
15,9,217
15,10,207
16,0,395
16,1,344
16,2,430
16,3,770
16,4,608
16,5,176
16,6,52
16,7,48
16,8,39
16,9,76
16,10,33
17,0,93
17,1,166
17,2,95
17,3,24
17,4,39
17,5,256
17,6,648
17,7,292
17,8,44
17,9,37
17,10,121
18,0,194
18,1,371
18,2,189
18,3,36
18,4,89
18,5,761
18,6,1782
18,7,825
18,8,114
18,9,63
18,10,172
19,0,248
19,1,541
19,2,228
19,3,58
19,4,33
19,5,32
19,6,38
19,7,30
19,8,47
19,9,88
19,10,0
