"","location","score","total"
"1",1,0,43
"2",1,1,45
"3",1,2,192
"4",1,3,395
"5",1,4,301
"6",1,5,337
"7",1,6,167
"8",1,7,46
"9",1,8,23
"10",1,9,53
"11",1,10,216
"12",2,0,158
"13",2,1,107
"14",2,2,324
"15",2,3,1235
"16",2,4,1976
"17",2,5,861
"18",2,6,137
"19",2,7,96
"20",2,8,94
"21",2,9,186
"22",2,10,75
"23",3,0,82
"24",3,1,144
"25",3,2,258
"26",3,3,253
"27",3,4,1487
"28",3,5,3480
"29",3,6,1939
"30",3,7,1216
"31",3,8,1422
"32",3,9,3179
"33",3,10,81
"34",4,0,55
"35",4,1,254
"36",4,2,554
"37",4,3,610
"38",4,4,862
"39",4,5,380
"40",4,6,42
"41",4,7,19
"42",4,8,21
"43",4,9,41
"44",4,10,121
"45",5,0,55
"46",5,1,61
"47",5,2,309
"48",5,3,660
"49",5,4,279
"50",5,5,50
"51",5,6,30
"52",5,7,39
"53",5,8,38
"54",5,9,68
"55",5,10,283
"56",6,0,528
"57",6,1,938
"58",6,2,490
"59",6,3,152
"60",6,4,108
"61",6,5,124
"62",6,6,109
"63",6,7,107
"64",6,8,107
"65",6,9,214
"66",6,10,2
"67",7,0,1
"68",7,1,1
"69",7,2,2
"70",7,3,2
"71",7,4,32
"72",7,5,93
"73",7,6,34
"74",7,7,4
"75",7,8,1
"76",7,9,1
"77",7,10,81
"78",8,0,180
"79",8,1,310
"80",8,2,162
"81",8,3,89
"82",8,4,186
"83",8,5,1454
"84",8,6,3542
"85",8,7,3046
"86",8,8,2482
"87",8,9,2357
"88",8,10,154
"89",9,0,288
"90",9,1,160
"91",9,2,97
"92",9,3,204
"93",9,4,864
"94",9,5,1964
"95",9,6,2376
"96",9,7,1210
"97",9,8,944
"98",9,9,535
"99",9,10,28
"100",10,0,29
"101",10,1,49
"102",10,2,104
"103",10,3,81
"104",10,4,315
"105",10,5,826
"106",10,6,539
"107",10,7,144
"108",10,8,31
"109",10,9,67
"110",10,10,62
"111",11,0,34
"112",11,1,12
"113",11,2,50
"114",11,3,561
"115",11,4,1398
"116",11,5,576
"117",11,6,57
"118",11,7,23
"119",11,8,23
"120",11,9,48
"121",11,10,74
"122",12,0,35
"123",12,1,75
"124",12,2,732
"125",12,3,1655
"126",12,4,699
"127",12,5,77
"128",12,6,25
"129",12,7,16
"130",12,8,21
"131",12,9,54
"132",12,10,29
"133",13,0,107
"134",13,1,205
"135",13,2,110
"136",13,3,181
"137",13,4,333
"138",13,5,150
"139",13,6,29
"140",13,7,15
"141",13,8,30
"142",13,9,37
"143",13,10,134
"144",14,0,77
"145",14,1,45
"146",14,2,53
"147",14,3,400
"148",14,4,916
"149",14,5,1290
"150",14,6,2350
"151",14,7,945
"152",14,8,121
"153",14,9,98
"154",14,10,237
"155",15,0,208
"156",15,1,813
"157",15,2,1839
"158",15,3,812
"159",15,4,160
"160",15,5,110
"161",15,6,97
"162",15,7,122
"163",15,8,108
"164",15,9,223
"165",15,10,73
"166",16,0,265
"167",16,1,500
"168",16,2,259
"169",16,3,439
"170",16,4,949
"171",16,5,424
"172",16,6,67
"173",16,7,46
"174",16,8,35
"175",16,9,88
"176",16,10,34
"177",17,0,23
"178",17,1,20
"179",17,2,13
"180",17,3,35
"181",17,4,364
"182",17,5,786
"183",17,6,351
"184",17,7,41
"185",17,8,18
"186",17,9,42
"187",17,10,112
"188",18,0,45
"189",18,1,92
"190",18,2,966
"191",18,3,2116
"192",18,4,929
"193",18,5,104
"194",18,6,41
"195",18,7,33
"196",18,8,42
"197",18,9,65
"198",18,10,162
"199",19,0,268
"200",19,1,540
"201",19,2,223
"202",19,3,53
"203",19,4,30
"204",19,5,34
"205",19,6,41
"206",19,7,43
"207",19,8,49
"208",19,9,72
"209",19,10,0
